Emp ID,work life balance,job satisfaction,Environment satisfaction
12311,excellent,high,High satisfied
12312,excellent,very high,Very Dissatisfied
12313,excellent,very high,Extremely Satisfied
12314,good,high,High satisfied
12315,excellent,very high,High satisfied
12316,excellent,very high,satisfied
12317,excellent,very high,High satisfied
12318,excellent,very high,Very Dissatisfied
12319,fair,high,Extremely Satisfied
12320,excellent,very high,High satisfied
12321,good,very high,satisfied
12322,fair,very high,satisfied
12323,good,very high,satisfied
12324,good,very high,High satisfied
12325,good,high,Very Dissatisfied
12326,good,high,High satisfied
12327,excellent,Medium,satisfied
12328,good,very high,Very Dissatisfied
12329,good,very high,Very Dissatisfied
12330,good,very high,Very Dissatisfied
12331,excellent,very high,Very Dissatisfied
12332,excellent,very high,Very Dissatisfied
12333,excellent,very high,High satisfied
12334,good,very high,satisfied
12335,excellent,Medium,Very Dissatisfied
12336,excellent,very high,satisfied
12337,good,very high,satisfied
12338,good,very high,High satisfied
12339,excellent,very high,satisfied
12340,excellent,very high,satisfied
12341,good,Medium,satisfied
12342,excellent,very high,Very Dissatisfied
12343,excellent,high,Very Dissatisfied
12344,good,high,Extremely Satisfied
12345,fair,very high,Very Dissatisfied
12346,excellent,Medium,Very Dissatisfied
12347,good,very high,High satisfied
12348,good,very high,Very Dissatisfied
12349,excellent,very high,satisfied
12350,fair,high,High satisfied
12351,good,very high,satisfied
12352,excellent,high,satisfied
12353,excellent,high,satisfied
12354,excellent,very high,satisfied
12355,fair,very high,satisfied
12356,excellent,very high,satisfied
12357,good,very high,Very Dissatisfied
12358,good,very high,High satisfied
12359,good,very high,satisfied
12360,excellent,high,High satisfied
12361,good,high,Very Dissatisfied
12362,excellent,very high,Very Dissatisfied
12363,excellent,very high,High satisfied
12364,excellent,very high,High satisfied
12365,good,high,High satisfied
12366,excellent,very high,Very Dissatisfied
12367,excellent,very high,Very Dissatisfied
12368,excellent,high,Very Dissatisfied
12369,excellent,high,High satisfied
12370,good,high,Very Dissatisfied
12371,excellent,high,satisfied
12372,excellent,very high,Very Dissatisfied
12373,excellent,high,satisfied
12374,excellent,high,High satisfied
12375,good,very high,High satisfied
12376,fair,high,satisfied
12377,excellent,very high,High satisfied
12378,excellent,high,High satisfied
12379,excellent,high,satisfied
12380,excellent,very high,satisfied
12381,excellent,very high,High satisfied
12382,excellent,Medium,Very Dissatisfied
12383,good,high,Very Dissatisfied
12384,excellent,very high,Very Dissatisfied
12385,excellent,high,Very Dissatisfied
12386,fair,very high,Very Dissatisfied
12387,excellent,Medium,Very Dissatisfied
12388,good,very high,High satisfied
12389,excellent,Medium,satisfied
12390,fair,very high,Very Dissatisfied
12391,excellent,very high,Extremely Satisfied
12392,excellent,very high,satisfied
12393,fair,very high,satisfied
12394,excellent,very high,Very Dissatisfied
12395,good,very high,Very Dissatisfied
12396,excellent,very high,satisfied
12397,good,high,Very Dissatisfied
12398,excellent,very high,satisfied
12399,good,very high,Very Dissatisfied
12400,fair,very high,satisfied
12401,good,very high,Very Dissatisfied
12402,excellent,very high,Extremely Satisfied
12403,excellent,very high,satisfied
12404,fair,very high,Very Dissatisfied
12405,good,very high,Extremely Satisfied
12406,excellent,very high,High satisfied
12407,fair,very high,High satisfied
12408,fair,high,Extremely Satisfied
12409,excellent,very high,Extremely Satisfied
12410,excellent,very high,High satisfied
12411,excellent,high,Very Dissatisfied
12412,excellent,very high,Very Dissatisfied
12413,good,very high,Very Dissatisfied
12414,fair,very high,satisfied
12415,fair,very high,Very Dissatisfied
12416,excellent,very high,Very Dissatisfied
12417,good,high,Very Dissatisfied
12418,excellent,very high,Very Dissatisfied
12419,good,very high,Very Dissatisfied
12420,good,very high,satisfied
12421,excellent,very high,Very Dissatisfied
12422,good,very high,satisfied
12423,good,very high,satisfied
12424,excellent,very high,satisfied
12425,good,very high,satisfied
12426,good,very high,satisfied
12427,good,Medium,Very Dissatisfied
12428,excellent,Medium,Very Dissatisfied
12429,fair,high,satisfied
12430,excellent,very high,satisfied
12431,excellent,very high,Very Dissatisfied
12432,excellent,Medium,satisfied
12433,good,Medium,satisfied
12434,excellent,high,satisfied
12435,fair,high,Very Dissatisfied
12436,excellent,very high,Very Dissatisfied
12437,excellent,high,satisfied
12438,excellent,very high,High satisfied
12439,good,very high,satisfied
12440,excellent,very high,Very Dissatisfied
12441,excellent,very high,Very Dissatisfied
12442,excellent,very high,Very Dissatisfied
12443,excellent,high,satisfied
12444,excellent,Medium,High satisfied
12445,good,very high,satisfied
12446,excellent,very high,Very Dissatisfied
12447,excellent,Medium,Very Dissatisfied
12448,excellent,high,High satisfied
12449,excellent,high,satisfied
12450,fair,very high,High satisfied
12451,good,very high,High satisfied
12452,good,Medium,satisfied
12453,excellent,very high,High satisfied
12454,good,very high,satisfied
12455,excellent,very high,Extremely Satisfied
12456,good,very high,satisfied
12457,excellent,very high,satisfied
12458,good,high,satisfied
12459,excellent,very high,High satisfied
12460,excellent,very high,Very Dissatisfied
12461,excellent,very high,Very Dissatisfied
12462,fair,very high,satisfied
12463,excellent,very high,satisfied
12464,good,very high,High satisfied
12465,good,very high,satisfied
12466,excellent,very high,Very Dissatisfied
12467,excellent,very high,Very Dissatisfied
12468,good,high,satisfied
12469,fair,very high,High satisfied
12470,excellent,very high,High satisfied
12471,good,Medium,Very Dissatisfied
12472,good,high,Very Dissatisfied
12473,fair,very high,satisfied
12474,excellent,very high,satisfied
12475,good,high,Very Dissatisfied
12476,excellent,very high,Very Dissatisfied
12477,good,Medium,satisfied
12478,excellent,very high,Very Dissatisfied
12479,excellent,very high,satisfied
12480,excellent,very high,Very Dissatisfied
12481,excellent,very high,Very Dissatisfied
12482,good,very high,Extremely Satisfied
12483,excellent,very high,satisfied
12484,fair,very high,satisfied
12485,excellent,very high,Very Dissatisfied
12486,excellent,very high,Very Dissatisfied
12487,good,very high,Very Dissatisfied
12488,good,high,High satisfied
12489,excellent,Medium,High satisfied
12490,good,very high,Very Dissatisfied
12491,excellent,very high,Very Dissatisfied
12492,excellent,very high,Extremely Satisfied
12493,good,high,Very Dissatisfied
12494,fair,very high,satisfied
12495,excellent,very high,Very Dissatisfied
12496,excellent,very high,satisfied
12497,excellent,high,Very Dissatisfied
12498,excellent,very high,Very Dissatisfied
12499,excellent,very high,Very Dissatisfied
12500,excellent,very high,Very Dissatisfied
12501,excellent,very high,Very Dissatisfied
12502,excellent,very high,Very Dissatisfied
12503,fair,very high,Very Dissatisfied
12504,good,high,Very Dissatisfied
12505,fair,high,High satisfied
12506,excellent,high,satisfied
12507,excellent,very high,Very Dissatisfied
12508,fair,very high,Very Dissatisfied
12509,fair,high,Extremely Satisfied
12510,excellent,very high,Very Dissatisfied
12511,excellent,very high,High satisfied
12512,excellent,high,satisfied
12513,excellent,very high,Very Dissatisfied
12514,excellent,very high,satisfied
12515,good,very high,Very Dissatisfied
12516,excellent,very high,satisfied
12517,good,high,High satisfied
12518,fair,very high,satisfied
12519,good,very high,satisfied
12520,good,Medium,Very Dissatisfied
12521,good,Medium,satisfied
12522,excellent,high,Very Dissatisfied
12523,good,very high,High satisfied
12524,excellent,high,Very Dissatisfied
12525,excellent,very high,satisfied
12526,excellent,very high,Very Dissatisfied
12527,excellent,very high,satisfied
12528,excellent,very high,Very Dissatisfied
12529,excellent,very high,satisfied
12530,excellent,very high,satisfied
12531,excellent,high,satisfied
12532,fair,very high,Very Dissatisfied
12533,excellent,high,High satisfied
12534,good,high,High satisfied
12535,excellent,very high,Very Dissatisfied
12536,excellent,high,Very Dissatisfied
12537,fair,very high,Very Dissatisfied
12538,excellent,very high,Very Dissatisfied
12539,excellent,high,satisfied
12540,excellent,very high,High satisfied
12541,good,very high,Very Dissatisfied
12542,excellent,very high,Very Dissatisfied
12543,excellent,very high,Very Dissatisfied
12544,excellent,high,High satisfied
12545,good,very high,Very Dissatisfied
12546,excellent,very high,High satisfied
12547,excellent,Medium,Very Dissatisfied
12548,good,high,Very Dissatisfied
12549,excellent,Medium,Very Dissatisfied
12550,fair,very high,Very Dissatisfied
12551,excellent,very high,High satisfied
12552,good,very high,Very Dissatisfied
12553,excellent,high,Very Dissatisfied
12554,excellent,very high,satisfied
12555,fair,very high,satisfied
12556,fair,very high,satisfied
12557,excellent,very high,Very Dissatisfied
12558,excellent,very high,satisfied
12559,excellent,very high,Very Dissatisfied
12560,excellent,Medium,satisfied
12561,excellent,very high,Very Dissatisfied
12562,good,high,Very Dissatisfied
12563,good,very high,Very Dissatisfied
12564,fair,high,satisfied
12565,excellent,very high,Very Dissatisfied
12566,good,very high,Very Dissatisfied
12567,excellent,high,Very Dissatisfied
12568,excellent,high,Very Dissatisfied
12569,excellent,very high,Very Dissatisfied
12570,good,very high,Very Dissatisfied
12571,excellent,high,satisfied
12572,excellent,Medium,satisfied
12573,excellent,very high,High satisfied
12574,excellent,very high,satisfied
12575,fair,very high,satisfied
12576,good,very high,Very Dissatisfied
12577,good,high,High satisfied
12578,good,very high,satisfied
12579,excellent,very high,Very Dissatisfied
12580,good,very high,satisfied
12581,excellent,Medium,satisfied
12582,excellent,high,Very Dissatisfied
12583,fair,very high,Extremely Satisfied
12584,excellent,high,Very Dissatisfied
12585,good,Medium,satisfied
12586,excellent,very high,satisfied
12587,good,very high,Very Dissatisfied
12588,excellent,high,Very Dissatisfied
12589,excellent,very high,Very Dissatisfied
12590,fair,very high,Very Dissatisfied
12591,excellent,very high,Very Dissatisfied
12592,excellent,high,Very Dissatisfied
12593,good,very high,Very Dissatisfied
12594,fair,high,Very Dissatisfied
12595,excellent,very high,satisfied
12596,excellent,very high,Very Dissatisfied
12597,excellent,high,satisfied
12598,good,high,Very Dissatisfied
12599,excellent,very high,Very Dissatisfied
12600,excellent,very high,Very Dissatisfied
12601,fair,very high,Very Dissatisfied
12602,good,very high,Very Dissatisfied
12603,good,high,satisfied
12604,good,high,Very Dissatisfied
12605,good,very high,satisfied
12606,excellent,high,Very Dissatisfied
12607,fair,very high,satisfied
12608,good,high,Very Dissatisfied
12609,fair,very high,Very Dissatisfied
12610,excellent,high,Extremely Satisfied
12611,excellent,very high,High satisfied
12612,excellent,very high,Very Dissatisfied
12613,excellent,very high,High satisfied
12614,good,very high,High satisfied
12615,excellent,very high,Very Dissatisfied
12616,excellent,very high,Very Dissatisfied
12617,excellent,very high,Very Dissatisfied
12618,excellent,very high,Very Dissatisfied
12619,excellent,very high,Very Dissatisfied
12620,good,high,Very Dissatisfied
12621,good,very high,Very Dissatisfied
12622,excellent,very high,Very Dissatisfied
12623,excellent,very high,Very Dissatisfied
12624,excellent,high,High satisfied
12625,excellent,very high,Very Dissatisfied
12626,good,very high,Very Dissatisfied
12627,excellent,Medium,satisfied
12628,good,very high,Very Dissatisfied
12629,good,very high,Very Dissatisfied
12630,good,very high,High satisfied
12631,good,very high,Very Dissatisfied
12632,good,very high,Very Dissatisfied
12633,good,very high,Very Dissatisfied
12634,excellent,very high,Very Dissatisfied
12635,excellent,very high,satisfied
12636,good,very high,Very Dissatisfied
12637,good,very high,Very Dissatisfied
12638,excellent,very high,satisfied
12639,excellent,very high,Very Dissatisfied
12640,excellent,very high,satisfied
12641,fair,very high,satisfied
12642,fair,Medium,Very Dissatisfied
12643,excellent,very high,Extremely Satisfied
12644,excellent,high,High satisfied
12645,excellent,very high,High satisfied
12646,excellent,very high,High satisfied
12647,good,very high,High satisfied
12648,good,very high,Very Dissatisfied
12649,good,high,Very Dissatisfied
12650,fair,very high,satisfied
12651,excellent,very high,High satisfied
12652,fair,Medium,Very Dissatisfied
12653,excellent,very high,Very Dissatisfied
12654,good,high,Very Dissatisfied
12655,excellent,very high,satisfied
12656,good,high,satisfied
12657,excellent,very high,Very Dissatisfied
12658,excellent,Medium,Extremely Satisfied
12659,excellent,very high,satisfied
12660,good,very high,Very Dissatisfied
12661,fair,very high,High satisfied
12662,good,very high,Very Dissatisfied
12663,good,very high,Very Dissatisfied
12664,fair,Medium,Very Dissatisfied
12665,good,very high,Very Dissatisfied
12666,good,high,High satisfied
12667,excellent,high,High satisfied
12668,good,very high,Very Dissatisfied
12669,good,very high,satisfied
12670,excellent,very high,Very Dissatisfied
12671,fair,very high,satisfied
12672,excellent,high,Very Dissatisfied
12673,excellent,Medium,High satisfied
12674,excellent,very high,Very Dissatisfied
12675,fair,very high,satisfied
12676,good,very high,High satisfied
12677,good,very high,High satisfied
12678,good,very high,satisfied
12679,good,very high,Very Dissatisfied
12680,excellent,high,High satisfied
12681,excellent,very high,High satisfied
12682,good,very high,Very Dissatisfied
12683,excellent,very high,satisfied
12684,excellent,very high,Extremely Satisfied
12685,excellent,very high,satisfied
12686,excellent,very high,satisfied
12687,excellent,very high,Very Dissatisfied
12688,excellent,very high,Very Dissatisfied
12689,excellent,very high,Extremely Satisfied
12690,excellent,Medium,satisfied
12691,excellent,very high,Very Dissatisfied
12692,excellent,high,Very Dissatisfied
12693,good,very high,satisfied
12694,good,very high,High satisfied
12695,fair,very high,High satisfied
12696,excellent,high,satisfied
12697,excellent,Medium,Very Dissatisfied
12698,excellent,high,Very Dissatisfied
12699,excellent,very high,High satisfied
12700,good,high,Very Dissatisfied
12701,excellent,very high,Very Dissatisfied
12702,excellent,very high,Extremely Satisfied
12703,fair,very high,satisfied
12704,excellent,high,Very Dissatisfied
12705,excellent,high,Extremely Satisfied
12706,good,very high,Very Dissatisfied
12707,good,very high,High satisfied
12708,fair,high,Very Dissatisfied
12709,excellent,Medium,satisfied
12710,excellent,very high,Very Dissatisfied
12711,good,high,satisfied
12712,good,high,Very Dissatisfied
12713,fair,very high,satisfied
12714,excellent,very high,satisfied
12715,excellent,very high,High satisfied
12716,excellent,very high,Very Dissatisfied
12717,good,very high,Very Dissatisfied
12718,excellent,Medium,satisfied
12719,excellent,very high,satisfied
12720,excellent,high,satisfied
12721,excellent,Medium,Very Dissatisfied
12722,good,very high,satisfied
12723,good,very high,satisfied
12724,good,high,Very Dissatisfied
12725,excellent,very high,Very Dissatisfied
12726,excellent,very high,Very Dissatisfied
12727,good,very high,Very Dissatisfied
12728,excellent,very high,High satisfied
12729,excellent,very high,Very Dissatisfied
12730,good,Medium,satisfied
12731,fair,very high,High satisfied
12732,excellent,high,Very Dissatisfied
12733,excellent,very high,Very Dissatisfied
12734,good,very high,satisfied
12735,excellent,Medium,satisfied
12736,excellent,very high,satisfied
12737,excellent,Medium,satisfied
12738,good,very high,Very Dissatisfied
12739,excellent,very high,Extremely Satisfied
12740,good,very high,High satisfied
12741,excellent,very high,Very Dissatisfied
12742,fair,very high,High satisfied
12743,excellent,very high,Very Dissatisfied
12744,good,very high,satisfied
12745,excellent,high,satisfied
12746,excellent,high,satisfied
12747,excellent,very high,satisfied
12748,excellent,very high,satisfied
12749,excellent,high,Very Dissatisfied
12750,excellent,very high,High satisfied
12751,excellent,very high,satisfied
12752,fair,very high,Very Dissatisfied
12753,excellent,very high,satisfied
12754,excellent,very high,Very Dissatisfied
12755,good,very high,Very Dissatisfied
12756,good,high,satisfied
12757,excellent,very high,satisfied
12758,excellent,very high,satisfied
12759,excellent,very high,satisfied
12760,excellent,very high,Very Dissatisfied
12761,good,very high,Very Dissatisfied
12762,excellent,very high,High satisfied
12763,fair,very high,High satisfied
12764,excellent,very high,Very Dissatisfied
12765,excellent,very high,Very Dissatisfied
12766,excellent,very high,High satisfied
12767,excellent,very high,Very Dissatisfied
12768,excellent,very high,Very Dissatisfied
12769,good,very high,High satisfied
12770,good,very high,Extremely Satisfied
12771,excellent,very high,Very Dissatisfied
12772,excellent,very high,High satisfied
12773,excellent,very high,Extremely Satisfied
12774,excellent,very high,satisfied
12775,good,very high,Very Dissatisfied
12776,fair,high,Very Dissatisfied
12777,good,very high,satisfied
12778,excellent,Medium,satisfied
12779,fair,very high,Extremely Satisfied
12780,excellent,very high,satisfied
12781,excellent,very high,satisfied
12782,excellent,very high,satisfied
12783,excellent,high,High satisfied
12784,excellent,very high,satisfied
12785,excellent,high,Very Dissatisfied
12786,excellent,very high,satisfied
12787,fair,high,satisfied
12788,good,very high,High satisfied
12789,excellent,very high,Extremely Satisfied
12790,excellent,very high,Very Dissatisfied
12791,good,very high,Very Dissatisfied
12792,good,very high,satisfied
12793,good,very high,Very Dissatisfied
12794,fair,very high,High satisfied
12795,excellent,high,satisfied
12796,good,very high,satisfied
12797,excellent,very high,satisfied
12798,excellent,very high,satisfied
12799,excellent,very high,High satisfied
12800,excellent,high,satisfied
12801,excellent,very high,Very Dissatisfied
12802,excellent,very high,satisfied
12803,excellent,very high,satisfied
12804,good,very high,Very Dissatisfied
12805,fair,very high,satisfied
12806,fair,very high,Very Dissatisfied
12807,fair,high,Very Dissatisfied
12808,excellent,very high,High satisfied
12809,excellent,high,High satisfied
12810,excellent,very high,Very Dissatisfied
12811,excellent,very high,satisfied
12812,fair,very high,satisfied
12813,excellent,very high,satisfied
12814,excellent,high,Very Dissatisfied
12815,good,very high,Very Dissatisfied
12816,fair,very high,Very Dissatisfied
12817,good,very high,satisfied
12818,good,very high,High satisfied
12819,excellent,high,satisfied
12820,excellent,very high,satisfied
12821,fair,high,High satisfied
12822,good,high,satisfied
12823,excellent,high,satisfied
12824,good,very high,satisfied
12825,good,very high,Very Dissatisfied
12826,excellent,high,Very Dissatisfied
12827,excellent,high,Very Dissatisfied
12828,excellent,very high,Very Dissatisfied
12829,excellent,very high,satisfied
12830,good,very high,Very Dissatisfied
12831,excellent,very high,High satisfied
12832,excellent,very high,Very Dissatisfied
12833,fair,very high,Very Dissatisfied
12834,fair,very high,satisfied
12835,good,very high,High satisfied
12836,excellent,very high,satisfied
12837,excellent,high,satisfied
12838,excellent,very high,High satisfied
12839,good,very high,Very Dissatisfied
12840,good,very high,Very Dissatisfied
12841,excellent,very high,Very Dissatisfied
12842,good,very high,satisfied
12843,excellent,very high,satisfied
12844,good,very high,High satisfied
12845,excellent,very high,Very Dissatisfied
12846,excellent,very high,Extremely Satisfied
12847,excellent,very high,Very Dissatisfied
12848,good,very high,Very Dissatisfied
12849,good,very high,Very Dissatisfied
12850,excellent,very high,satisfied
12851,excellent,very high,Very Dissatisfied
12852,fair,high,Very Dissatisfied
12853,fair,very high,satisfied
12854,excellent,high,satisfied
12855,excellent,very high,Very Dissatisfied
12856,excellent,very high,satisfied
12857,excellent,high,Very Dissatisfied
12858,fair,high,Very Dissatisfied
12859,good,very high,Extremely Satisfied
12860,excellent,very high,Very Dissatisfied
12861,excellent,Medium,Very Dissatisfied
12862,excellent,very high,Very Dissatisfied
12863,good,high,satisfied
12864,excellent,very high,High satisfied
12865,excellent,very high,Very Dissatisfied
12866,good,very high,Very Dissatisfied
12867,excellent,very high,satisfied
12868,excellent,high,Very Dissatisfied
12869,good,high,High satisfied
12870,excellent,very high,Very Dissatisfied
12871,fair,Medium,Very Dissatisfied
12872,excellent,high,Very Dissatisfied
12873,excellent,very high,satisfied
12874,excellent,very high,satisfied
12875,excellent,very high,Very Dissatisfied
12876,good,Medium,Very Dissatisfied
12877,good,very high,Very Dissatisfied
12878,excellent,very high,satisfied
12879,excellent,very high,satisfied
12880,good,very high,Very Dissatisfied
12881,good,very high,Very Dissatisfied
12882,good,very high,Very Dissatisfied
12883,fair,very high,High satisfied
12884,good,very high,satisfied
12885,good,Medium,Very Dissatisfied
12886,fair,very high,Very Dissatisfied
12887,excellent,very high,satisfied
12888,excellent,Medium,Very Dissatisfied
12889,excellent,very high,High satisfied
12890,good,very high,High satisfied
12891,good,high,Very Dissatisfied
12892,excellent,Medium,Extremely Satisfied
12893,good,high,Very Dissatisfied
12894,excellent,very high,satisfied
12895,excellent,Medium,Very Dissatisfied
12896,excellent,very high,satisfied
12897,excellent,very high,Very Dissatisfied
12898,excellent,very high,Extremely Satisfied
12899,good,very high,satisfied
12900,excellent,high,Very Dissatisfied
12901,excellent,high,satisfied
12902,excellent,Medium,Very Dissatisfied
12903,fair,very high,Very Dissatisfied
12904,good,very high,satisfied
12905,excellent,Medium,satisfied
12906,excellent,very high,Very Dissatisfied
12907,excellent,very high,Very Dissatisfied
12908,fair,very high,satisfied
12909,good,very high,satisfied
12910,good,very high,Very Dissatisfied
12911,good,very high,satisfied
12912,excellent,very high,High satisfied
12913,excellent,high,Very Dissatisfied
12914,excellent,Medium,Very Dissatisfied
12915,excellent,very high,satisfied
12916,good,very high,satisfied
12917,excellent,very high,satisfied
12918,excellent,very high,satisfied
12919,excellent,very high,Very Dissatisfied
12920,excellent,very high,High satisfied
12921,excellent,very high,Very Dissatisfied
12922,excellent,very high,satisfied
12923,good,very high,satisfied
12924,fair,very high,satisfied
12925,excellent,very high,Very Dissatisfied
12926,excellent,very high,High satisfied
12927,good,very high,Very Dissatisfied
12928,good,very high,High satisfied
12929,excellent,Medium,Very Dissatisfied
12930,fair,high,Very Dissatisfied
12931,good,very high,satisfied
12932,excellent,high,Very Dissatisfied
12933,good,high,Very Dissatisfied
12934,good,high,Very Dissatisfied
12935,excellent,high,Very Dissatisfied
12936,fair,high,High satisfied
12937,excellent,very high,Very Dissatisfied
12938,fair,Medium,satisfied
12939,good,very high,Very Dissatisfied
12940,fair,very high,High satisfied
12941,excellent,very high,Very Dissatisfied
12942,excellent,very high,Very Dissatisfied
12943,excellent,very high,Extremely Satisfied
12944,good,very high,High satisfied
12945,fair,very high,satisfied
12946,excellent,very high,Very Dissatisfied
12947,excellent,very high,Very Dissatisfied
12948,excellent,very high,satisfied
12949,fair,very high,High satisfied
12950,excellent,high,Very Dissatisfied
12951,excellent,very high,Very Dissatisfied
12952,good,very high,Extremely Satisfied
12953,good,very high,Extremely Satisfied
12954,excellent,very high,High satisfied
12955,excellent,very high,Very Dissatisfied
12956,fair,very high,High satisfied
12957,excellent,very high,Very Dissatisfied
12958,good,high,High satisfied
12959,good,very high,satisfied
12960,good,very high,Very Dissatisfied
12961,fair,high,Very Dissatisfied
12962,excellent,very high,High satisfied
12963,excellent,very high,Very Dissatisfied
12964,excellent,very high,Very Dissatisfied
12965,excellent,very high,satisfied
12966,good,high,satisfied
12967,excellent,very high,satisfied
12968,excellent,very high,satisfied
12969,good,high,Very Dissatisfied
12970,good,high,Very Dissatisfied
12971,good,very high,Very Dissatisfied
12972,good,very high,High satisfied
12973,excellent,high,High satisfied
12974,excellent,very high,High satisfied
12975,good,very high,satisfied
12976,excellent,high,High satisfied
12977,excellent,high,Very Dissatisfied
12978,good,high,Very Dissatisfied
12979,excellent,very high,Very Dissatisfied
12980,fair,very high,Very Dissatisfied
12981,good,very high,satisfied
12982,excellent,very high,satisfied
12983,fair,very high,High satisfied
12984,excellent,very high,Very Dissatisfied
12985,fair,Medium,satisfied
12986,fair,very high,Very Dissatisfied
12987,excellent,high,satisfied
12988,excellent,very high,satisfied
12989,excellent,very high,High satisfied
12990,excellent,very high,Very Dissatisfied
12991,excellent,very high,Very Dissatisfied
12992,excellent,high,Very Dissatisfied
12993,fair,very high,Very Dissatisfied
12994,good,very high,Very Dissatisfied
12995,excellent,very high,satisfied
12996,good,Medium,Very Dissatisfied
12997,fair,very high,satisfied
12998,excellent,very high,Very Dissatisfied
12999,excellent,very high,Very Dissatisfied
13000,fair,very high,Very Dissatisfied
13001,excellent,very high,Very Dissatisfied
13002,fair,high,Very Dissatisfied
13003,fair,high,Very Dissatisfied
13004,good,high,Very Dissatisfied
13005,good,very high,satisfied
13006,good,very high,Very Dissatisfied
13007,excellent,very high,Extremely Satisfied
13008,fair,very high,Very Dissatisfied
13009,excellent,very high,Very Dissatisfied
13010,excellent,very high,satisfied
13011,excellent,very high,satisfied
13012,excellent,very high,High satisfied
13013,excellent,Medium,High satisfied
13014,good,Medium,satisfied
13015,good,very high,High satisfied
13016,good,very high,satisfied
13017,excellent,very high,satisfied
13018,excellent,high,Very Dissatisfied
13019,good,high,Very Dissatisfied
13020,excellent,very high,satisfied
13021,good,very high,satisfied
13022,excellent,very high,satisfied
13023,fair,very high,satisfied
13024,excellent,very high,Very Dissatisfied
13025,excellent,very high,High satisfied
13026,excellent,very high,High satisfied
13027,good,very high,satisfied
13028,good,high,Very Dissatisfied
13029,good,very high,High satisfied
13030,excellent,Medium,High satisfied
13031,excellent,high,satisfied
13032,excellent,very high,High satisfied
13033,excellent,very high,Very Dissatisfied
13034,excellent,very high,satisfied
13035,excellent,very high,Very Dissatisfied
13036,excellent,Medium,satisfied
13037,excellent,very high,Very Dissatisfied
13038,good,very high,Very Dissatisfied
13039,good,Medium,Very Dissatisfied
13040,excellent,high,satisfied
13041,excellent,high,Very Dissatisfied
13042,fair,very high,Very Dissatisfied
13043,good,very high,satisfied
13044,excellent,very high,High satisfied
13045,good,very high,Very Dissatisfied
13046,good,high,Very Dissatisfied
13047,fair,high,High satisfied
13048,excellent,very high,Very Dissatisfied
13049,excellent,very high,satisfied
13050,good,very high,Very Dissatisfied
13051,excellent,very high,Very Dissatisfied
13052,excellent,very high,High satisfied
13053,fair,very high,High satisfied
13054,good,very high,Very Dissatisfied
13055,good,very high,satisfied
13056,excellent,very high,High satisfied
13057,fair,very high,satisfied
13058,excellent,high,Very Dissatisfied
13059,excellent,very high,High satisfied
13060,good,very high,High satisfied
13061,excellent,very high,High satisfied
13062,excellent,very high,satisfied
13063,excellent,very high,Very Dissatisfied
13064,excellent,very high,Very Dissatisfied
13065,good,very high,satisfied
13066,excellent,very high,Very Dissatisfied
13067,good,very high,Very Dissatisfied
13068,good,very high,Very Dissatisfied
13069,excellent,very high,High satisfied
13070,excellent,very high,Very Dissatisfied
13071,excellent,very high,Very Dissatisfied
13072,good,very high,satisfied
13073,excellent,Medium,Extremely Satisfied
13074,excellent,very high,Very Dissatisfied
13075,excellent,very high,Very Dissatisfied
13076,excellent,very high,satisfied
13077,excellent,very high,satisfied
13078,excellent,very high,High satisfied
13079,excellent,very high,satisfied
13080,fair,very high,Very Dissatisfied
13081,fair,high,Very Dissatisfied
13082,excellent,very high,satisfied
13083,excellent,very high,satisfied
13084,fair,very high,satisfied
13085,excellent,very high,satisfied
13086,excellent,very high,satisfied
13087,good,very high,High satisfied
13088,excellent,very high,Very Dissatisfied
13089,fair,very high,Very Dissatisfied
13090,excellent,very high,satisfied
13091,excellent,very high,satisfied
13092,good,very high,Very Dissatisfied
13093,excellent,very high,High satisfied
13094,excellent,very high,High satisfied
13095,good,very high,satisfied
13096,excellent,high,Very Dissatisfied
13097,excellent,very high,satisfied
13098,good,high,Very Dissatisfied
13099,excellent,very high,satisfied
13100,excellent,very high,Very Dissatisfied
13101,excellent,very high,satisfied
13102,excellent,very high,satisfied
13103,good,very high,satisfied
13104,excellent,Medium,satisfied
13105,excellent,very high,Very Dissatisfied
13106,good,Medium,satisfied
13107,excellent,high,Very Dissatisfied
13108,excellent,high,satisfied
13109,good,very high,High satisfied
13110,excellent,very high,Very Dissatisfied
13111,excellent,Medium,High satisfied
13112,excellent,very high,satisfied
13113,fair,very high,Very Dissatisfied
13114,good,very high,satisfied
13115,good,very high,Very Dissatisfied
13116,fair,high,High satisfied
13117,excellent,very high,Very Dissatisfied
13118,good,high,satisfied
13119,excellent,Medium,Very Dissatisfied
13120,excellent,very high,satisfied
13121,good,very high,High satisfied
13122,fair,Medium,High satisfied
13123,good,very high,Very Dissatisfied
13124,excellent,high,Very Dissatisfied
13125,excellent,high,Extremely Satisfied
13126,fair,very high,High satisfied
13127,good,very high,satisfied
13128,excellent,high,Very Dissatisfied
13129,excellent,very high,satisfied
13130,excellent,very high,Very Dissatisfied
13131,good,very high,Very Dissatisfied
13132,good,high,High satisfied
13133,good,high,High satisfied
13134,fair,very high,satisfied
13135,excellent,very high,Very Dissatisfied
13136,excellent,very high,satisfied
13137,excellent,very high,High satisfied
13138,excellent,very high,High satisfied
13139,good,very high,Very Dissatisfied
13140,excellent,high,Very Dissatisfied
13141,good,very high,satisfied
13142,excellent,very high,High satisfied
